time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-06-21T08:57:18.773Z,36.41001129,-98.35375214,2.043484211,2.29,ml,62,58.47649765,0.1563579887,0.5791712983,ok,ok2020mcyg,2020-06-21T09:01:49.403Z,7 km E of Cleo Springs. Oklahoma,earthquake,1.665993836,1.375545381,,47,automatic,ok,ok
2020-06-21T08:55:51.630Z,38.15,-117.9423,11.5,0.9,ml,14,132.87,6,0.1,nn,nn00751224,2020-06-21T09:03:02.999Z,30 km SSE of Mina. Nevada,earthquake,,0.7,,,automatic,nn,nn
2020-06-21T08:55:43.260Z,33.6678333,-116.7368333,15.4,0.49,ml,21,87,0.04717,0.11,ci,ci39488464,2020-06-21T08:59:11.569Z,8km SSW of Idyllwild. CA,earthquake,0.24,0.41,0.14,12,automatic,ci,ci
2020-06-21T08:54:13.290Z,38.1867,-117.74,10.4,1.2,ml,16,162.67,119,0.08,nn,nn00751221,2020-06-21T08:57:43.380Z,39 km SE of Mina. Nevada,earthquake,,1.6,,,automatic,nn,nn
2020-06-21T08:52:54.080Z,19.200834274292,-155.464340209961,35.1800003051758,2.25,ml,53,142,,0.109999999,hv,hv72009221,2020-06-21T08:58:28.550Z,1 km E of P?hala. Hawaii,earthquake,0.47,0.600000024,5.26,3,automatic,hv,hv
2020-06-21T08:44:00.693Z,36.36256027,-97.37696838,3.317252874,1.69,ml,35,63.71546555,0.1536694467,0.2871949723,ok,ok2020mcxu,2020-06-21T08:49:21.518Z,11 km NW of Perry. Oklahoma,earthquake,2.241327954,1.668185689,,27,automatic,ok,ok
2020-06-21T08:40:16.330Z,38.1933,-117.9383,1.8,0.7,ml,13,84.76,29,0.04,nn,nn00751219,2020-06-21T08:55:22.826Z,26 km SE of Mina. Nevada,earthquake,,9,,,automatic,nn,nn
2020-06-21T08:30:29.074Z,64.9779,-149022,18.2,0.3,ml,,,,0.66,ak,ak0207y8wzzu,2020-06-21T08:36:17.863Z,24 km SE of Minto. Alaska,earthquake,,0.3,,,automatic,ak,ak
2020-06-21T08:25:13.270Z,35.8248333,-117656,6.72,0.67,ml,7,111,0.04839,0.12,ci,ci39488456,2020-06-21T08:28:44.878Z,23km N of Ridgecrest. CA,earthquake,0.37,0.96,128,6,automatic,ci,ci
2020-06-21T08:19:48.890Z,19.1604995727539,-155.463836669922,32.8199996948242,2.13000011,md,42,166,,0.129999995,hv,hv72009176,2020-06-21T08:22:58.980Z,4 km SSE of P?hala. Hawaii,earthquake,0.58,0.819999993,0.150000006,13,automatic,hv,hv
2020-06-21T08:18:09.190Z,19.1653327941895,-155.468002319336,32.060001373291,2.00999999,md,46,88,,0.119999997,hv,hv72009171,2020-06-21T08:21:12.910Z,4 km SSE of P?hala. Hawaii,earthquake,0.6,0.790000021,1.61000001,19,automatic,hv,hv
2020-06-21T08:13:43.490Z,38.1927,-117.7557,10.1,1.1,ml,14,92.25,42,0.05,nn,nn00751217,2020-06-21T08:41:43.025Z,37 km SE of Mina. Nevada,earthquake,,7.6,,,automatic,nn,nn
2020-06-21T08:08:52.670Z,69408,-144.0521,0,2.9,ml,,,,0.75,ak,ak0207y8sc1w,2020-06-21T08:44:07.040Z,82 km SSW of Kaktovik. Alaska,earthquake,,0.7,,,automatic,ak,ak
2020-06-21T08:04:29.880Z,38.1708,-117979,2.4,0.5,ml,10,104.58,31,0.05,nn,nn00751216,2020-06-21T08:15:22.397Z,26 km SSE of Mina. Nevada,earthquake,,7.8,,,automatic,nn,nn
2020-06-21T08:02:34.120Z,38189,-117.7882,5,1.6,ml,19,58.3,56,0.09,nn,nn00751212,2020-06-21T08:06:33.069Z,35 km SE of Mina. Nevada,earthquake,,1,,,automatic,nn,nn
2020-06-21T07:59:29.590Z,35.9351667,-117688,1.98,0.89,ml,13,64,0.03307,0.14,ci,ci39488440,2020-06-21T08:03:16.228Z,20km E of Little Lake. CA,earthquake,0.31,0.43,131,12,automatic,ci,ci
2020-06-21T07:58:17.920Z,35.6381667,-117.5655,3.8,1.12,ml,17,80,0.0987,0.15,ci,ci39488424,2020-06-21T08:02:04.877Z,10km E of Ridgecrest. CA,earthquake,0.29,0.91,195,16,automatic,ci,ci
2020-06-21T07:57:45.280Z,33.2021667,-115.6216667,2.92,1.2,ml,10,77,19,0.21,ci,ci39488432,2020-06-21T08:01:18.402Z,10km WSW of Niland. CA,earthquake,0.5,0.61,236,16,automatic,ci,ci
